n,ecg_data_interp,ecg_signal_quant
573,1.42497610412346,7411
574,1.42478185626355,7410
575,1.42600380189141,7417
576,1.42870129869929,7431
577,1.43236455223861,7450
578,1.43723798982361,7475
579,1.44299709896783,7505
580,1.44915584415387,7537
581,1.45435846409513,7564
582,1.45930104617164,7590
583,1.46386161931801,7613
584,1.4678571428552,7634
585,1.47055884656392,7648
586,1.4724336898521,7658
587,1.4733999240888,7663
588,1.47331168830975,7663
589,1.47121372038781,7652
590,1.46820520224872,7636
591,1.46455967920496,7617
592,1.46045454545258,7596
593,1.45556582847847,7570
594,1.45050438569823,7544
595,1.44541197045504,7518
596,1.4403896103876,7491
597,1.43468185618272,7462
598,1.42985064099888,7437
599,1.42653320275674,7419
600,1.42519480519277,7412
601,1.42563449254281,7415
602,1.42841696900187,7429
603,1.43336721410924,7455
604,1.43999999999798,7489
605,1.44695292394071,7526
606,1.45444802498667,7565
607,1.46198166910655,7604
608,1.469025974024,7640
609,1.47433061736008,7668
610,1.47869752653287,7691
611,1.48218756929995,7709
612,1.48480519480324,7722
613,1.48606658785273,7729
614,1.48642567749368,7731
615,1.48584424628348,7728
616,1.48422077921881,7719
617,1.48063226381897,7701
618,1.4763725337886,7679
619,1.47191394182382,7655
620,1.46766233766033,7633
621,1.46335599153451,7611
622,1.46002583931758,7594
623,1.45794442030875,7583
624,1.45714285714082,7579
625,1.45688059031053,7577
626,1.45769547065496,7581
627,1.45942891106721,7590
628,1.46181818181614,7603
629,1.4638291545513,7613
630,1.46634755139709,7626
631,1.46949658883513,7643
632,1.47331168830965,7663
633,1.47707155413169,7682
634,1.48157252125446,7706
635,1.48677478470979,7733
636,1.49240259740058,7762
637,1.49755375360876,7789
638,1.50229852238111,7813
639,1.50622611951225,7834
640,1.50896103895902,7848
641,1.50924808508744,7850
642,1.50867006732047,7847
643,1.50786849633165,7842
644,1.50740259740055,7840
645,1.50732352699444,7840
646,1.50818666815003,7844
647,1.50994225921686,7853
648,1.51227272727066,7865
649,1.51395473546802,7874
650,1.51566710889147,7883
651,1.51733494337515,7892
652,1.51889610389402,7900
653,1.51955977520448,7903
654,1.52055467277597,7908
655,1.52227622513134,7917
656,1.52493506493298,7931
657,1.52816293999417,7948
658,1.53219196097469,7969
659,1.53667885658233,7992
660,1.54110389610183,8015
661,1.54395023932488,8030
662,1.54616570020784,8042
663,1.54776382886876,8050
664,1.54870129869926,8055
665,1.5484762669744,8054
666,1.54746570173414,8048
667,1.54558045518374,8038
668,1.5426623376603,8023
669,1.53766753052238,7997
670,1.53187447428016,7967
671,1.52565715294466,7935
672,1.51928571428366,7902
673,1.51249308903417,7866
674,1.50590360505707,7832
675,1.49960346269002,7799
676,1.49357142856935,7768
677,1.48684473580233,7733
678,1.48082512158633,7702
679,1.47595473622769,7676
680,1.47253246753037,7659
681,1.4702962463053,7647
682,1.46973660683673,7644
683,1.4707651581071,7649
684,1.47311688311479,7662
