t_recon,spikes,analog_signal,recon,squared_error
1.07050656,-0.25,0.209387103290253,0.20625,9.84141705371161e-06
1.0823611,0.25,0.307597990340026,0.309375,3.15776333164235e-06
1.08450412,0.25,0.409597437608624,0.4125,8.42486843583221e-06
1.08632152,0.25,0.513780223666303,0.515625,3.40319972137082e-06
1.08791908,0.25,0.617633135678775,0.61875,1.24738591202721e-06
1.0893681,0.25,0.720848464121941,0.721875,1.05377590894307e-06
1.09070308,0.25,0.822773328474921,0.825,4.95806608060132e-06
1.09196906,0.25,0.924815522613842,0.928125,1.0952640569496e-05
1.0931804,0.25,1.02675590111526,1.03125,2.01969247858089e-05
1.0943652,0.25,1.12995797284888,1.134375,1.95101288537599e-05
1.09551722,0.25,1.23307209111765,1.2375,1.96063770704373e-05
1.0966385,0.25,1.33553631811076,1.340625,2.5894683369908e-05
1.09774808,0.25,1.43846900317151,1.44375,2.78889275024902e-05
1.0988345,0.25,1.54025236505782,1.546875,4.38592935773256e-05
1.09992552,0.25,1.64298045099595,1.65,4.9274068220317e-05
1.10102086,0.25,1.74614782704667,1.753125,4.86809424207246e-05
1.10211946,0.25,1.84916451011689,1.85625,5.02041668836868e-05
1.10323928,0.25,1.95319152985832,1.959375,3.82353029930189e-05
1.10437804,0.25,2.05743642354621,2.0625,2.5639806503375e-05
1.10552674,0.25,2.16047735629682,2.165625,2.64982356948486e-05
1.10670252,0.25,2.26319037269193,2.26875,3.09094558045812e-05
1.10793288,0.25,2.36708066341986,2.371875,2.29856632436275e-05
1.10922054,0.25,2.47121216525952,2.475,1.4347692021196e-05
1.11057208,0.25,2.57471895681151,2.578125,1.16011302018298e-05
1.11200506,0.25,2.67716824758536,2.68125,1.66607027744098e-05
1.11359238,0.25,2.78090540251795,2.784375,1.20381066874446e-05
1.11540542,0.25,2.88558859881297,2.8875,3.65345449778153e-06
1.11753534,0.25,2.98801860385898,2.990625,6.79330084389435e-06
1.1205519,0.25,3.09179754108917,3.09375,3.8120957984689e-06
1.13254704,-0.25,2.9844912230456,2.990625,3.76232197262861e-05
1.13466984,-0.25,2.88155310042084,2.8875,3.5365614604659e-05
1.13643846,-0.25,2.77899379797417,2.784375,2.89573352428319e-05
1.1380081,-0.25,2.67626402617085,2.68125,2.4859935024971e-05
1.13945734,-0.25,2.5725341794311,2.578125,3.12572746336022e-05
1.14080508,-0.25,2.46919048775507,2.475,3.37504325240095e-05
1.1420612,-0.25,2.36757067558037,2.371875,1.85272087094166e-05
1.1432906,-0.25,2.26378208520778,2.26875,2.4680177382784e-05
1.1444584,-0.25,2.16179405889256,2.165625,1.46761097686581e-05
1.14561422,-0.25,2.05813842724572,2.0625,1.90233168908607e-05
1.14674296,-0.25,1.95483063186787,1.959375,2.06512817203086e-05
1.14784182,-0.25,1.85278088059272,1.85625,1.20347894619575e-05
1.14893856,-0.25,1.74996422031926,1.753125,9.99052819020848e-06
1.15002802,-0.25,1.64735917857963,1.65,6.97393777429047e-06
1.15112104,-0.25,1.54443181357663,1.546875,5.96915989934298e-06
1.15221216,-0.25,1.44217950312148,1.44375,2.46646044545487e-06
1.15333118,-0.25,1.33833097863627,1.340625,5.26253401723703e-06
1.15444994,-0.25,1.23604611129225,1.2375,2.11379237452227e-06
1.1555977,-0.25,1.13323910987366,1.134375,1.2902463791189e-06
1.15677906,-0.25,1.03023330425255,1.03125,1.03367024287479e-06
1.1580088,-0.25,0.926642807708209,0.928125,2.19689398984672e-06
