t_recon,spikes,recon,th
1.54588575,0.25,2.75859375,0.603125
1.54660775,0.25,2.86171875,0.603125
1.547352,0.25,2.96484375,0.603125
1.54816275,0.25,3.06796875,0.603125
1.549292,0.25,3.17109375,0.603125
1.560082375,-0.25,3.06796875,0.603125
1.563328625,-0.25,3.01640625,0.5515625
1.564495,-0.25,2.96484375,0.5515625
1.56504525,-0.25,2.91328125,0.5515625
1.56575275,-0.25,2.81015625,0.603125
1.56628425,-0.25,2.70703125,0.603125
1.566739375,-0.25,2.60390625,0.603125
1.5671495,-0.25,2.50078125,0.603125
1.567523625,-0.25,2.39765625,0.603125
1.56788675,-0.25,2.29453125,0.603125
1.568225875,-0.25,2.19140625,0.603125
1.56856525,-0.25,2.08828125,0.603125
1.568900625,-0.25,1.98515625,0.603125
1.569232,-0.25,1.88203125,0.603125
1.5695685,-0.25,1.77890625,0.603125
1.569905875,-0.25,1.67578125,0.603125
1.570247,-0.25,1.57265625,0.603125
1.570594875,-0.25,1.46953125,0.603125
1.570955,-0.25,1.36640625,0.603125
1.571323625,-0.25,1.26328125,0.603125
1.5717065,-0.25,1.16015625,0.603125
1.5721115,-0.25,1.05703125,0.603125
1.572542125,-0.25,0.953906250000002,0.603125
1.572999,-0.25,0.850781250000002,0.603125
1.57350075,-0.25,0.747656250000002,0.603125
1.574055875,-0.25,0.644531250000002,0.603125
1.574692125,-0.25,0.541406250000002,0.603125
1.57547325,-0.25,0.438281250000002,0.603125
1.576554625,-0.25,0.335156250000002,0.603125
1.578836625,-0.25,0.232031250000002,0.603125
1.581995375,0.25,0.335156250000002,0.603125
1.582703375,0.25,0.386718750000002,0.5515625
1.583336375,0.25,0.438281250000002,0.5515625
1.58451275,0.25,0.541406250000002,0.603125
1.585727625,0.25,0.644531250000002,0.603125
1.587445875,0.25,0.747656250000002,0.603125
1.589999125,0.25,0.850781250000002,0.603125
1.592106,0.25,0.953906250000002,0.603125
1.603192625,0.25,1.05703125,0.603125
1.605352625,0.25,1.10859375,0.5515625
1.610130875,0.25,1.16015625,0.5515625
1.6117895,0.25,1.1859375,0.52578125
1.613945375,-0.25,1.16015625,0.52578125
1.61507275,-0.25,1.134375,0.52578125
1.61664125,-0.25,1.10859375,0.52578125
1.623638875,0.25,1.16015625,0.5515625
1.63000175,0.25,1.1859375,0.52578125
1.630606375,0.25,1.198828125,0.512890625
1.63142125,0.25,1.21171875,0.512890625
1.636673625,0.25,1.2375,0.52578125
1.637383625,0.25,1.250390625,0.512890625
1.638143125,0.25,1.26328125,0.512890625
1.64249825,0.25,1.2890625,0.52578125
1.64316125,0.25,1.301953125,0.512890625
1.643789875,0.25,1.31484375,0.512890625
1.649856875,0.25,1.340625,0.52578125
1.65039,0.25,1.353515625,0.512890625
1.651029625,0.25,1.36640625,0.512890625
1.663657625,0.25,1.3921875,0.52578125
1.666226375,-0.25,1.379296875,0.512890625
1.6688765,0.25,1.3921875,0.512890625
1.6693905,0.25,1.405078125,0.512890625
1.669935125,0.25,1.41796875,0.512890625
1.676587625,0.25,1.44375,0.52578125
1.68095325,0.25,1.456640625,0.512890625
1.682179875,0.25,1.46953125,0.512890625
1.6843305,-0.25,1.456640625,0.512890625
1.68841825,0.25,1.46953125,0.512890625
1.689501625,0.25,1.482421875,0.512890625
1.692867125,-0.25,1.46953125,0.512890625
1.697102625,0.25,1.482421875,0.512890625
1.699125875,0.25,1.4953125,0.512890625
1.7006145,0.25,1.508203125,0.512890625
1.703238,0.25,1.533984375,0.52578125
1.705016875,-0.25,1.508203125,0.52578125
1.70580275,-0.25,1.4953125,0.512890625
1.70734125,0.25,1.508203125,0.512890625
1.707873875,0.25,1.52109375,0.512890625
